Date_of_visit,District,Chiefdom,Section,Name_of_community,Date_of_dep,Male_Child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Grand_total,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2015-01-10,Bo,Komboya,NA,Mano,NA,NA,NA,14,NA,NA,16,30,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Badjia,NA,Normiyama,NA,NA,NA,17,NA,NA,26,43,3,2,2,0,2,0,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-01-07,Bo,Badjia,NA,Saaso,NA,NA,NA,11,NA,NA,12,23,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Badjia,NA,Ngiehun,NA,NA,NA,18,NA,NA,20,38,4,2,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Badjia,NA,Grima,NA,NA,NA,18,NA,NA,9,27,1,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Badjia,NA,Jokibu,NA,NA,NA,12,NA,NA,18,30,2,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Badjia,NA,Ngeiyewoma,NA,NA,NA,20,NA,NA,27,47,2,2,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Badjia,NA,Njandama,NA,NA,NA,28,NA,NA,30,58,2,1,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Badjia,NA,Ngumahun,NA,NA,NA,24,NA,NA,29,53,2,2,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2015-01-09,Bo,Badjia,NA,Jawai,NA,NA,NA,23,NA,NA,25,48,1,2,2,0,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Badjia,NA,Njelehun,NA,NA,NA,10,NA,NA,14,24,1,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Badjia,NA,Dambala,NA,NA,NA,12,NA,NA,7,19,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Badjia,NA,Njabahun,NA,NA,NA,8,NA,NA,12,20,1,1,1,0,1,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Badjia,NA,Kpowabu,NA,NA,NA,15,NA,NA,11,26,3,2,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-07,Bo,Badjia,NA,Kebawama,NA,NA,NA,15,NA,NA,18,33,3,1,2,0,2,1,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Badjia,NA,Jullu,NA,NA,NA,11,NA,NA,13,24,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Badjia,NA,Pelewahun,NA,NA,NA,16,NA,NA,11,27,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Badjia,NA,Pendembu,NA,NA,NA,33,NA,NA,30,63,2,2,2,0,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Badjia,NA,Bumpewo,NA,NA,NA,23,NA,NA,17,40,3,1,3,0,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Badjia,NA,Pujehun,NA,NA,NA,10,NA,NA,36,46,4,2,2,0,2,2,3,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Badjia,NA,Jellu,NA,NA,NA,15,NA,NA,24,39,1,1,1,0,1,NA,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Badjia,NA,Kpetema,NA,NA,NA,10,NA,NA,12,22,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Badjia,NA,Yorlluhun,NA,NA,NA,18,NA,NA,10,28,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Badjia,NA,Baama,NA,NA,NA,14,NA,NA,10,24,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Badjia,NA,Sembehun,NA,NA,NA,11,NA,NA,17,28,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Badjia,NA,Koindu,NA,NA,NA,10,NA,NA,12,22,3,1,2,0,2,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-13,Bo,Badjia,NA,Kojehun,NA,NA,NA,8,NA,NA,7,15,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Badjia,NA,Madina,NA,NA,NA,11,NA,NA,14,25,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Badjia,NA,Kpaku,NA,NA,NA,18,NA,NA,15,33,2,1,2,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Badjia,NA,Faala,NA,NA,NA,21,NA,NA,11,32,2,1,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Badjia,NA,Kugbahun,NA,NA,NA,24,NA,NA,26,50,1,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,Bo,Bagbe,NA,Ballie,NA,NA,NA,16,NA,NA,14,30,2,1,2,0,1,1,3,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbe,NA,Gbonjema,NA,NA,NA,20,NA,NA,18,38,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-09,Bo,Bagbe,NA,Njala Kendima,NA,NA,NA,18,NA,NA,12,30,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbe,NA,Kondu,NA,NA,NA,15,NA,NA,10,25,2,1,2,0,2,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Momajoe,NA,NA,NA,7,NA,NA,12,19,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Maniwa,NA,NA,NA,17,NA,NA,18,35,2,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbo,NA,Folla,NA,NA,NA,32,NA,NA,30,62,2,1,3,0,2,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Mokebay ,NA,NA,NA,14,NA,NA,17,31,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Madina,NA,NA,NA,22,NA,NA,23,45,1,1,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Mano Yorgbo,NA,NA,NA,16,NA,NA,18,34,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Mondorkor,NA,NA,NA,27,NA,NA,20,47,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Tokpombu,NA,NA,NA,31,NA,NA,26,57,1,1,2,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Dandabu,NA,NA,NA,18,NA,NA,11,29,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Bum Kaku,NA,NA,NA,22,NA,NA,19,41,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbo,NA,Kenema,NA,NA,NA,11,NA,NA,16,27,2,1,1,0,1,1,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
