Date_of_visit,District,Chiefdom,Section,Name_of_community,Date_of_dep,Male_Child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Grand_total,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2015-01-06,Bo,Bagbo,NA,Tokpombu 2,NA,NA,NA,35,NA,NA,45,80,3,1,2,1,2,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-07,Bo,Bagbo,NA,Gbaleh,NA,NA,NA,20,NA,NA,21,41,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Jimmi,NA,NA,NA,20,NA,NA,35,55,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Senehun Ngola,NA,NA,NA,20,NA,NA,22,42,2,1,1,0,NA,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Mattru,NA,NA,NA,15,NA,NA,12,27,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbo,NA,Bandajuma,NA,NA,NA,20,NA,NA,35,55,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Niagorehun,NA,NA,NA,18,NA,NA,14,32,1,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Kpetewoma,NA,NA,NA,18,NA,NA,21,39,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Futa,NA,NA,NA,20,NA,NA,17,37,2,2,2,1,2,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Ngegboma,NA,NA,NA,12,NA,NA,15,27,2,1,2,1,2,1,5,2,0,0,1,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbo,NA,Nyandehun,NA,NA,NA,18,NA,NA,20,38,2,2,2,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Baoma,NA,NA,NA,20,NA,NA,15,35,NA,2,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbo,NA,Senehun Somba,NA,NA,NA,16,NA,NA,22,38,1,1,1,0,1,0,5,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Ngolapon,NA,NA,NA,16,NA,NA,11,27,1,1,1,0,1,1,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Mokoba,NA,NA,NA,18,NA,NA,14,32,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbo,NA,Ndeima,NA,NA,NA,16,NA,NA,11,27,1,1,1,0,1,1,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbo,NA,Bumpewo,NA,NA,NA,18,NA,NA,14,32,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,Bo,Bagbwe,NA,Sami,NA,NA,NA,17,NA,NA,17,34,2,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbwe,NA,Buma,NA,NA,NA,14,NA,NA,10,24,2,2,2,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbwe,NA,Kondiama,NA,NA,NA,10,NA,NA,8,18,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbwe,NA,Gbama,NA,NA,NA,15,NA,NA,11,26,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-08,Bo,Bagbwe,NA,Benduma,NA,NA,NA,25,NA,NA,15,40,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbwe,NA,Niahun,NA,NA,NA,44,NA,NA,30,74,5,2,2,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbwe,NA,Kpetema,NA,NA,NA,26,NA,NA,31,57,2,2,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbwe,NA,Pelewahun,NA,NA,NA,42,NA,NA,21,63,3,2,2,3,1,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-13,Bo,Bagbwe,NA,Mendewa,NA,NA,NA,38,NA,NA,20,58,2,2,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Bagbwe,NA,Kpakuma,NA,NA,NA,32,NA,NA,26,58,5,4,3,0,2,2,3,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-07,Bo,Bagbwe,NA,Vengema,NA,NA,NA,32,NA,NA,20,52,4,3,3,0,1,1,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Bagbwe,NA,Barma,NA,NA,NA,26,NA,NA,40,66,5,2,2,0,2,2,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Bagbwe,NA,Ngalu,NA,NA,NA,40,NA,NA,20,60,4,2,2,0,2,2,3,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
2015-01-08,Bo,Bagbwe,NA,Ngalu New Town,NA,NA,NA,10,NA,NA,17,27,2,1,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Bagbwe,NA,Gibina,NA,NA,NA,14,NA,NA,8,22,2,2,2,0,2,1,5,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
2015-01-06,Bo,Bagbwe,NA,Blama,NA,NA,NA,12,NA,NA,10,22,3,2,2,0,2,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Bagbwe,NA,Palima,NA,NA,NA,26,NA,NA,30,56,2,2,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-01-16,Bo,Bagbwe,NA,Konjogiehun,NA,NA,NA,24,NA,NA,27,51,1,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-13,Bo,Bagbwe,NA,Kpetema,NA,NA,NA,30,NA,NA,25,55,4,2,2,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Bagbwe,NA,Konjondoma,NA,NA,NA,40,NA,NA,36,76,4,2,3,0,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Bagbwe,NA,Yangabu,NA,NA,NA,18,NA,NA,12,30,1,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Bagbwe,NA,Lowuma,NA,NA,NA,9,NA,NA,7,16,2,1,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Bagbwe,NA,Langulama,NA,NA,NA,25,NA,NA,12,37,2,2,2,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Bagbwe,NA,Bangabu,NA,NA,NA,18,NA,NA,12,30,1,1,1,0,1,0,2,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Bagbwe,NA,Walihun,NA,NA,NA,11,NA,NA,7,18,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Bagbwe,NA,Kpawula,NA,NA,NA,18,NA,NA,8,26,2,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Bagbwe,NA,Kpetewoma,NA,NA,NA,14,NA,NA,26,40,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Bagbwe,NA,Kpatou,NA,NA,NA,32,NA,NA,18,50,2,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Bagbwe,NA,Foindo,NA,NA,NA,19,NA,NA,20,39,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Bagbwe,NA,Yawei,NA,NA,NA,10,NA,NA,19,29,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Bagbwe,NA,Kpawula,NA,NA,NA,23,NA,NA,8,31,2,1,2,0,1,1,2,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,Bo,Bagbwe,NA,Bijia,NA,NA,NA,19,NA,NA,18,37,2,1,1,0,2,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Bagbwe,NA,Yengema,NA,NA,NA,19,NA,NA,16,35,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,Bo,Bagbwe,NA,Mokpendeh,NA,NA,NA,13,NA,NA,11,24,2,2,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Kponima,NA,NA,NA,18,NA,NA,16,34,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Jombohun,NA,NA,NA,8,NA,NA,10,18,2,0,1,0,0,1,3,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Gbahun,NA,NA,NA,20,NA,NA,18,38,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Gbahama,NA,NA,NA,18,NA,NA,22,40,2,1,1,0,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Foindu,NA,NA,NA,14,NA,NA,11,25,5,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Niama,NA,NA,NA,14,NA,NA,11,25,5,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Baoma Station,NA,NA,NA,30,NA,NA,40,70,5,2,2,1,2,2,2,1,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Baoma Old Town,NA,NA,NA,28,NA,NA,30,58,3,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Waiima,NA,NA,NA,30,NA,NA,19,49,2,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Gbandi,NA,NA,NA,23,NA,NA,15,38,2,2,1,0,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Kpumbu,NA,NA,NA,30,NA,NA,38,68,3,2,2,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Kortumahun,NA,NA,NA,15,NA,NA,16,31,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Njaluahun,NA,NA,NA,20,NA,NA,35,55,3,4,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Manowa,NA,NA,NA,20,NA,NA,38,58,3,2,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Gerihun,NA,NA,NA,53,NA,NA,54,107,5,3,3,1,2,3,2,0,1,1,1,0,1,1,1,3,3,0,0,3,2,0,0,0,1,0,0
2015-01-08,Bo,Baoma,NA,Gollu,NA,NA,NA,32,NA,NA,36,68,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Palima 2,NA,NA,NA,32,NA,NA,36,68,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Konia,NA,NA,NA,50,NA,NA,49,99,3,2,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Nolobogoma,NA,NA,NA,20,NA,NA,10,30,1,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2015-01-06,Bo,Baoma,NA,Kormende,NA,NA,NA,12,NA,NA,20,32,2,1,2,1,1,2,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Yambama,NA,NA,NA,20,NA,NA,15,35,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Pelewahun Ngiebu,NA,NA,NA,53,NA,NA,50,103,10,2,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Taninahun,NA,NA,NA,42,NA,NA,30,72,10,4,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Gbinima,NA,NA,NA,50,NA,NA,33,83,6,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,Bo,Baoma,NA,Farbu,NA,NA,NA,28,NA,NA,42,70,7,2,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,Bo,Baoma,NA,Kortumahun,NA,NA,NA,28,NA,NA,40,68,4,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,Bo,Baoma,NA,Guallu,NA,NA,NA,30,NA,NA,35,65,4,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,Bo,Baoma,NA,Gangama,NA,NA,NA,22,NA,NA,38,60,2,2,2,0,2,2,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Baoma,NA,Sandia,NA,NA,NA,10,NA,NA,8,18,2,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Baoma,NA,Kpatobu,NA,NA,NA,14,NA,NA,10,24,2,1,2,2,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-16,Bo,Baoma,NA,Tungebebu,NA,NA,NA,25,NA,NA,35,60,4,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,Bo,Baoma,NA,Semibu,NA,NA,NA,20,NA,NA,30,50,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Baoma,NA,Ngeyamie,NA,NA,NA,28,NA,NA,30,58,5,2,2,0,2,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2015-01-15,Bo,Baoma,NA,Ngualu,NA,NA,NA,35,NA,NA,43,78,4,2,2,0,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015-01-16,Bo,Baoma,NA,Maina ,NA,NA,NA,42,NA,NA,47,89,3,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,Bo,Baoma,NA,Feiba,NA,NA,NA,51,NA,NA,43,94,5,2,3,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
2015-01-13,Bo,Baoma,NA,Komende,NA,NA,NA,11,NA,NA,14,25,1,1,2,0,NA,0,5,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,1,0,0,0
