Date_of_visit,District,Chiefdom,Section,Name_of_community,Date_of_dep,Male_Child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Grand_total,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
1/10/2015,Bo,Komboya,NA,Mano,NA,NA,NA,14,NA,NA,16,30,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2015,Bo,Badjia,NA,Normiyama,NA,NA,NA,17,NA,NA,26,43,3,2,2,0,2,0,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1/7/2015,Bo,Badjia,NA,Saaso,NA,NA,NA,11,NA,NA,12,23,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Bo,Badjia,NA,Ngiehun,NA,NA,NA,18,NA,NA,20,38,4,2,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Bo,Badjia,NA,Grima,NA,NA,NA,18,NA,NA,9,27,1,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2015,Bo,Badjia,NA,Jokibu,NA,NA,NA,12,NA,NA,18,30,2,2,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2015,Bo,Badjia,NA,Ngeiyewoma,NA,NA,NA,20,NA,NA,27,47,2,2,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2015,Bo,Badjia,NA,Njandama,NA,NA,NA,28,NA,NA,30,58,2,1,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2015,Bo,Badjia,NA,Ngumahun,NA,NA,NA,24,NA,NA,29,53,2,2,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1/9/2015,Bo,Badjia,NA,Jawai,NA,NA,NA,23,NA,NA,25,48,1,2,2,0,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
